8
1	Library	42.0267	-93.6465
2	Coffee Shop	42.0281	-93.6512
3	Park	42.0300	-93.6489
4	Museum	42.0248	-93.6520
5	Stadium	42.0225	-93.6555
6	Station	42.0275	-93.6430
7	Restaurant	42.0292	-93.6455
8	Hotel	42.0255	-93.6495
50
1	2	0.4	42.0274	-93.6489	College St
1	3	0.9	42.0283	-93.6478	Greenway
1	5	1.3	42.0246	-93.6480	Library Loop
1	6	0.8	42.0271	-93.6450	Station Way
1	7	0.6	42.0280	-93.6460	Elm St
1	8	0.3	42.0262	-93.6480	Union Rd
2	1	0.4	42.0274	-93.6489	College St
2	3	0.3	42.0290	-93.6500	Main Ave
2	4	0.4	42.0269	-93.6515	Campus Ave
2	5	1.2	42.0253	-93.6530	Hawkeye Rd
2	7	0.5	42.0285	-93.6465	North Connector
2	8	0.5	42.0270	-93.6495	Market St
3	1	0.9	42.0283	-93.6478	Greenway
3	2	0.3	42.0290	-93.6500	Main Ave
3	4	0.5	42.0275	-93.6505	Heritage Rd
3	6	1.0	42.0287	-93.6447	Park Lane
3	7	0.8	42.0290	-93.6465	Park North Rd
3	8	0.7	42.0280	-93.6485	Park Access Rd
4	2	0.4	42.0269	-93.6515	Campus Ave
4	3	0.5	42.0275	-93.6505	Heritage Rd
4	5	0.6	42.0235	-93.6537	Stadium Blvd
4	6	1.1	42.0262	-93.6488	Museum Way
4	7	0.6	42.0260	-93.6480	Museum Cross
4	8	0.6	42.0250	-93.6505	Museum Connector
5	1	1.3	42.0246	-93.6480	Library Loop
5	2	1.2	42.0253	-93.6530	Hawkeye Rd
5	4	0.6	42.0235	-93.6537	Stadium Blvd
5	6	0.7	42.0250	-93.6442	Central Dr
5	7	1.0	42.0255	-93.6510	Stadium Spur
5	8	0.7	42.0240	-93.6520	Stadium Rd
6	1	0.8	42.0271	-93.6450	Station Way
6	3	1.0	42.0287	-93.6447	Park Lane
6	4	1.1	42.0262	-93.6488	Museum Way
6	5	0.7	42.0250	-93.6442	Central Dr
6	7	0.9	42.0282	-93.6442	Station Connector
6	8	0.9	42.0265	-93.6448	Depot Dr
7	1	0.6	42.0280	-93.6460	Elm St
7	2	0.5	42.0285	-93.6465	North Connector
7	3	0.8	42.0290	-93.6465	Park North Rd
7	4	0.6	42.0260	-93.6480	Museum Cross
7	5	1.0	42.0255	-93.6510	Stadium Spur
7	6	0.9	42.0282	-93.6442	Station Connector
7	8	0.8	42.0278	-93.6470	Court Ave
8	1	0.3	42.0262	-93.6480	Union Rd
8	2	0.5	42.0270	-93.6495	Market St
8	3	0.7	42.0280	-93.6485	Park Access Rd
8	4	0.6	42.0250	-93.6505	Museum Connector
8	5	0.7	42.0240	-93.6520	Stadium Rd
8	6	0.9	42.0265	-93.6448	Depot Dr
8	7	0.8	42.0278	-93.6470	Court Ave
