6
1	Library	42.0267	-93.6465
2	Coffee Shop	42.0281	-93.6512
3	Park	42.0300	-93.6489
4	Museum	42.0248	-93.6520
5	Stadium	42.0225	-93.6555
6	Station	42.0275	-93.6430
24
1	2	0.4	42.0274	-93.6489	College St
1	3	0.9	42.0283	-93.6478	Greenway
1	5	1.3	42.0246	-93.6480	Library Loop
1	6	0.8	42.0271	-93.6450	Station Way
2	1	0.4	42.0274	-93.6489	College St
2	3	0.3	42.0290	-93.6500	Main Ave
2	4	0.4	42.0269	-93.6515	Campus Ave
2	5	1.2	42.0253	-93.6530	Hawkeye Rd
3	1	0.9	42.0283	-93.6478	Greenway
3	2	0.3	42.0290	-93.6500	Main Ave
3	4	0.5	42.0275	-93.6505	Heritage Rd
3	6	1.0	42.0287	-93.6447	Park Lane
4	2	0.4	42.0269	-93.6515	Campus Ave
4	3	0.5	42.0275	-93.6505	Heritage Rd
4	5	0.6	42.0235	-93.6537	Stadium Blvd
4	6	1.1	42.0262	-93.6488	Museum Way
5	1	1.3	42.0246	-93.6480	Library Loop
5	2	1.2	42.0253	-93.6530	Hawkeye Rd
5	4	0.6	42.0235	-93.6537	Stadium Blvd
5	6	0.7	42.0250	-93.6442	Central Dr
6	1	0.8	42.0271	-93.6450	Station Way
6	3	1.0	42.0287	-93.6447	Park Lane
6	4	1.1	42.0262	-93.6488	Museum Way
6	5	0.7	42.0250	-93.6442	Central Dr
